Наименование,Адрес,Вредоносность,Регистрация в реестре,Используется арендованное помещение,Маскируют свою деятельность,Категория объекта,Колличество жалоб на предприятие
"ООО ""ЦЕНТР ДИАЛИЗА""","454048, г. Челябинск, ул. Воровского, д. 16, ПОМЕЩЕНИЕ 25",1,1,0,1,3,2
"ООО ""ЧЕЛЯБ - МАСЛО""","454036, г. Челябинск, Свердловский тракт, д. 12, ОФИС 2",1,1,0,0,3,1
"ООО ""СПЕЦАВТО-ВОСТОК""","454091, г. Челябинск, ул. Красная, д. 4",1,1,1,0,3,2
"ООО ""СТРОЙТЕХ""","454091, г. Челябинск, Свердловский пр-кт, д. 57, ПОМЕЩЕНИЕ 204",1,1,1,0,2,2
"ООО НПО ""РОСАНТИКОР""","454010, г. Челябинск, ул. Енисейская, д. 40, к. 125, оф. 5/1",1,1,1,0,3,2
"ООО ""ЧМЗ""","454038, г. Челябинск, ул. Промышленная, д. 6, ОФИС 21",1,0,1,0,4,2
"ООО ИНДУСТРИАЛЬНЫЙ ПАРК ""СТАНКОМАШ""","454010, г. Челябинск, ул. Енисейская, д. 8, кв. 59",0,0,1,0,4,5
"ООО ""НЗСМ""","454092, г. Челябинск, ул. Елькина, д. 81А, ОФИС 1 ЭТАЖ 3",0,0,1,0,4,5
"ООО ПКФ ""ЭНЕРГОСТАЛЬ""","454047, г. Челябинск, ул. Сталеваров, д. 5, 318",0,0,1,1,4,30
"ООО ""МВО""","454006, г. Челябинск, ул. Российская, д. 67, ОФИС 1024",0,1,1,1,1,12
"ООО ""ЧФК""","454084, г. Челябинск, ул. Кожзаводская, д. 54, ПОМЕЩЕНИЕ 2,ОФИС 32",1,1,1,1,3,12
"ООО ""ЧЕЛФАРМ""","454135, г. Челябинск, Копейское ш., д. 49, ПОМЕЩЕНИЕ 15",1,0,1,1,2,13
"АО ""ЭСК ЧТПЗ""","454129, г. Челябинск, ул. Машиностроителей, д. 21, кв. 21",1,1,1,1,1,9
"ООО ""ДЕП+""","454085, г. Челябинск, ул. Танкистов, д. 179Б, НЕЖ. ПОМ. 2.2",1,1,1,1,4,3
"ООО ЧЛЗ ""ФЕСТ ПРО""","454008, г. Челябинск, Свердловский тракт, д. 5, ОФИС 203. 204",1,1,0,1,2,3
"ООО ""АСМ-РЕСУРС""","454080, г. Челябинск, ул. Лесопарковая, д. 7, КВАРТИРА 104",1,1,0,1,4,2
"ООО ""ТОРГОВЫЙ ДОМ ""ЧМЗ""","454038, г. Челябинск, ул. Промышленная, д. 6, ОФИС 22",1,1,0,1,4,1
"ООО ""ЧЕЛЯБСТРОЙСНАБ""","454008, г. Челябинск, Свердловский пр-кт, д. 2, ЭТАЖ 1 ОФИС 136",1,1,1,1,4,4
"ООО ТД ""ИНДУСТРИЯ УПАКОВКИ""","454038, г. Челябинск, ул. Промышленная, д. 1",1,1,1,1,4,1
"ООО ""ЧЕЛЯБИНСК ПРОФИТ""","454091, г. Челябинск, ул. Елькина, д. 45А, ОФИС 905",1,0,1,1,4,1
"ООО ""МЯСНАЯ ДУША ТРЕЙДИНГ""","454082, г. Челябинск, Троицкий тракт, д. 70А, ОФИС 402А",1,1,0,1,4,1
"ООО ""ЭКО-СЕРВИС""","454007, г. Челябинск, пр-кт Ленина, д. 2А, НЕЖ.ПОМ./ОФ. 1/319/2",1,1,0,1,4,3
ООО «СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК «ФЛАЙ ПЛЭНИНГ»,"454091, г. Челябинск, ул. Кирова, д. 159, ОФИС 909",0,1,0,1,4,0
"ООО ""ЮРМА-СЕРВИС""","454053, г. Челябинск, ул. Томинская 1-я, д. 1, НЕЖ.ПОМ. 2/11",1,1,0,1,4,0
"ООО НПФ ""МКТ-АСДМ""","454091, г. Челябинск, ул. Кирова, д. 159, ОФИС 1606",1,1,1,1,4,0
"ООО ""ПК""","454047, г. Челябинск, ул. Сталеваров, д. 5, ОФИС 6/II",1,1,1,0,4,1
"ООО ""ПРОМЫШЛЕННЫЙ ПОТЕНЦИАЛ""","454081, г. Челябинск, ул. Горького, д. 56А, ОФИС 303",1,1,1,0,4,1
"ООО ""Т ДРАЙВ""","454045, г. Челябинск, ул. Маслобазовая, д. 5, Помещение 2, ОФИС 16",1,1,1,0,1,1
"ООО ""ПРОМАГРО""","454021, г. Челябинск, ул. Братьев Кашириных, д. 87А, ПОМЕЩЕНИЕ 12",0,1,1,0,2,1
"ООО ""ТД ""УСПЕХ""","454085, г. Челябинск, ул. Танкистов, д. 177А, ОФИС 202",0,0,0,0,3,2
"ООО ""АВТОРИТЕЙЛ""","454003, г. Челябинск, ул. Братьев Кашириных, д. 137, ОФИС 42",0,1,0,0,2,7
"ООО ""АМ-СЕРВИС""","454090, г. Челябинск, ул. Свободы, д. 83, ОФИС 319",0,1,0,0,2,9
"ООО ТД ""ВЕСТЕРН""","454014, г. Челябинск, ул. Захаренко, д. 14",1,1,1,0,2,3
"ООО ""СТРОЙИНВЕСТ""","454008, г. Челябинск, Комсомольский пр-кт, д. 2, ОФИС 504",1,1,1,0,2,3
"ООО ""ВТОРРЕСУРС""","454080, г. Челябинск, ул. Сони Кривой, д. 73, 28",0,1,1,0,2,5
"ООО ""ЮРЭКСЛ-ГРУПП""","454106, г. Челябинск, ул. Островского, д. 30, ОФИС 305",1,0,1,0,2,9
"ООО ФИРМА ""ТЕХЗАЩИТА""","454048, г. Челябинск, ул. Яблочкина, д. 12, Н/П2",1,0,1,0,2,3
"ООО ""УНП""","454053, г. Челябинск, Троицкий тракт, д. 11 КОРПУС А, ПОМЕЩЕНИЕ 103Б",1,0,1,0,3,3
"ООО ""ЧЗПТ""","454008, г. Челябинск, Свердловский тракт, д. 5Ф, ОФИС 5",1,0,1,0,4,5
"ООО ГК ""АБСОЛЮТНЫЕ СИСТЕМЫ""","454091, г. Челябинск, ул. Российская, д. 275, НЕЖ.ПОМ. 17, ОФИС 61",1,1,1,0,4,31
"ООО ""УФ ""КОМУС-УПАКОВКА""","454008, г. Челябинск, ул. Автодорожная, 19, А",1,1,1,0,4,12
"ООО ""МЕДФАРМТРЕЙД""","454080, г. Челябинск, ул. Тернопольская, д. 6, НЕЖ.ПОМЕЩ. 111 ОФИС 4 ЭТАЖ 10",1,0,1,0,4,12
"ООО ""АЛЕМФИНАНС""","454091, г. Челябинск, ул. Пушкина, д. 71, ОФИС 502",0,1,1,0,1,10
"АО ""УРАЛЬСКИЙ КОМБИНАТ ПИТАНИЯ""","454091, г. Челябинск, ул. Васенко, д. 96, ОФИС 620",0,1,1,0,3,1
"ООО ""ЮЖУРАЛПАК""","454038, г. Челябинск, ул. Промышленная, д. 1",1,1,0,0,2,1
"ООО ""СИБНЕФТЬТРАНС""","454008, г. Челябинск, Комсомольский пр-кт, д. 2, оф. 513",1,1,0,0,1,1
"ООО ""ТЕХНОСТРОЙ""","454012, г. Челябинск, Копейское ш., д. 36В, ОФИС 4",0,1,0,0,4,1
"ООО ""УРАЛДОРСТРОЙ-СЕРВИС""","454090, г. Челябинск, ул. Российская, д. 159В, ОФИС 405",0,1,1,0,2,1
"ООО ТД ""АГРОТЕХНИКА""","454053, г. Челябинск, Троицкий тракт, д. 23, кв. 2",0,1,1,1,2,1
"ООО ""ВТОРЧЕРМЕТ""","454081, г. Челябинск, ул. Героев Танкограда, д. 57П, ОФИС 38",0,0,1,1,2,1
"ООО ""НИКПРОМ""","454053, г. Челябинск, Троицкий тракт, 25, Б",0,0,1,1,2,2
"ООО ""УГС""","454008, г. Челябинск, Свердловский пр-кт, д. 28А, КВАРТИРА 159",0,1,1,1,2,12
"ООО ""УРАЛМАШСТАЛЬ""","454901, г. Челябинск, п. Водрем 40, д. 20, стр. 3, НЕЖ. ПОМ. 308",0,1,1,0,2,10
"ООО ""ВТОРМЕТ""","454074, г. Челябинск, ул. Героев Танкограда, д. 46П, ПОМЕЩЕНИЕ 1",1,1,1,1,2,1
"ООО ""ФЕРРОЭКСПОРТ""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 18, 114 А",1,1,1,1,2,1
"ООО ""ФОРТУНА""","454008, г. Челябинск, ул. Цинковая, д. 2А, ПОМЕЩ. 4 ОФИС 7",1,1,1,1,2,1
"АО ""ПК ЭЛИНА""","454126, г. Челябинск, ул. Витебская, д. 4, КОМНАТА 511",1,1,1,1,2,1
"ООО ""ПИЩЕВЫЕ ТЕХНОЛОГИИ""","454100, г. Челябинск, ул. Городская, д. 47, ОФИС 4",0,1,1,1,4,2
"ООО ""ОЧКИ И МОДА""","454007, г. Челябинск, ул. 40-летия Октября, д. 15",1,1,1,1,4,7
"ООО ""КЕММА""","454038, г. Челябинск, ул. Мраморная, 26, Строение 4, ОФИС 209",1,1,1,0,4,9
"ООО ""ГК ""ТРУБМЕТ-УРАЛШПУНТ""","454090, г. Челябинск, пр-кт Ленина, д. 36А, ОФИС 4",1,1,1,0,4,3
"ООО ""СОЮЗУГОЛЬ""","454080, г. Челябинск, ул. Труда, д. 156В, ПОМЕЩ. 297",1,1,1,0,1,3
"ООО ""ИНСИ БЛОК""","454080, г. Челябинск, ул. Труда, д. 156, ЭТ, ПОМ 2, 42",1,1,1,0,3,5
"ООО ""АЛЬФАИНЖИНИРИНГ""","454080, г. Челябинск, ул. Лесопарковая, д. 7Б, пом. 213",1,0,1,0,2,5
"ООО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД""","454012, г. Челябинск, ул. Горелова, д. 12",0,0,0,1,1,5
"ООО ""КОНЦЕРН МИТМОНД""","454085, г. Челябинск, ул. Кулибина, д. 3А",0,1,1,1,4,30
"ООО ТОРГОВАЯ КОМПАНИЯ ""САМОЦВЕТ""","454045, г. Челябинск, ул. Потребительская 2-я, д. 30, к. А, ОФИС 1",0,1,1,1,2,12
"ООО ""РОБУР-ГРАНИТ""","454091, г. Челябинск, ул. Цвиллинга, д. 46, ОФИС 406/12,13",0,1,1,1,2,12
"ООО ТД ""ПАРТНЕР""","454045, г. Челябинск, ул. Потребительская 2-я, д. 28, стр. 1, ЗД./ЭТ ЗДАНИЕ ЗАРЯДНОЙ/2 ПОМЕЩ. З201",1,1,1,1,2,13
"ООО ""МПТО""","454036, г. Челябинск, ул. Радонежская, д. 38, ОФИС 2",1,1,1,1,3,5
"ООО ""ПРАЙС""","454010, г. Челябинск, ул. Гагарина, д. 9, ОФИС 427",1,1,0,1,1,5
"ООО ""МЕДЛАЙТ""","454091, г. Челябинск, ул. Маркса, д. 54, ОФИС 222",1,0,0,1,2,2
"ООО ""НЕФТЬИНВЕСТГРУПП""","454084, г. Челябинск, ул. Кожзаводская, д. 100, ЭТАЖ/ОФИС 4/14",1,0,0,1,2,3
"ООО ""ПЦП""","454091, г. Челябинск, пл. МОПРа, д. 10, ОФИС 605",0,0,0,1,3,3
"ООО ""ЭЛМЕТРО-ИНЖИНИРИНГ""","454106, г. Челябинск, Комсомольский пр-кт, д. 19, к. А, ПОМЕЩЕНИЕ 7",0,0,1,1,3,3
"ЗАО НТЦ ""ЛОГИС""","454106, г. Челябинск, ул. Северо-Крымская, д. 18А",0,1,1,1,4,3
"ООО ""ПМТ-ЛАБОРАТОРИЯ""","454112, г. Челябинск, Комсомольский пр-кт, д. 45А",1,1,0,0,1,3
"ЗАО ""ЭТАЛОН-ПРИБОР""","454138, г. Челябинск, пр-кт Победы, д. 288, ЭТАЖ 3",1,1,1,0,2,2
"АО ""ЮУ КЖСИ""","454091, г. Челябинск, пл. МОПРа, д. 8А, ОФИС 501",1,1,1,1,3,20
"ООО ""ПСК""","454080, г. Челябинск, пр-кт Ленина, д. 83, ПОМЕЩЕНИЕ 4, ОФИС 412",1,1,1,1,2,0
"АО ""Клиника ВМ""","454129, г. Челябинск, ул. Новороссийская, д. 88, НЕЖ.ПОМ. 3",1,1,1,1,3,0
"ООО ""БАРРЕЛЬ""","454008, г. Челябинск, ул. Вострецова, д. 3",1,1,1,1,3,0
"ООО ""БЕРКУТ""","454100, г. Челябинск, ул. Молдавская, д. 16",1,1,1,1,4,0
"ООО ""КЕДР""","454081, г. Челябинск, ул. Горького, д. 56А, эт 2 ПОМЕЩЕНИЕ 3/7, ОФИС 205",1,1,1,1,4,5
"ООО ""СТРОЙКОНТИНЕНТ""","454010, г. Челябинск, ул. Енисейская, д. 73",1,1,1,0,4,17
"ООО НПО ""ТЕХНОКОМ""","454016, г. Челябинск, ул. Братьев Кашириных, д. 65",1,1,1,0,4,27
"ООО ""НСТ""","454091, г. Челябинск, ул. Свободы, д. 62",1,1,1,0,4,34
"ООО ""ЭЛПИ-ТРЕЙД""","454077, г. Челябинск, ул. Шишкина, д. 85",1,1,1,0,2,0
"ООО ""ВЫСОТА""","454000, г. Челябинск, ул. Маршала Чуйкова, д. 36, оф. 3",0,1,0,0,3,0
"ООО ТК ""ЕВРОСАХАР""","454045, г. Челябинск, ул. Телеграфная, д. 46, Литер А, ОФИС 36",0,1,0,0,2,0
"ООО ПП ""ЕВРОПРИВОД""","454048, г. Челябинск, ул. Шаумяна, д. 50, КАБИНЕТ 13",0,1,0,0,4,0
"ООО ""ПОЛЕВОЕ""","454082, г. Челябинск, Троицкий тракт, д. 74, НЕЖ.ПОМ. 16,17",1,1,1,0,1,0
